Title,URL,Link Text,Description
Reward Statement,https://hr.company.com/rewards,View Reward Statement,Access your annual reward statement and bonus information
Pay Slip,https://hr.company.com/payslip,View Pay Slip,Download your monthly pay slip
Leave Balance,https://hr.company.com/leave,Check Leave Balance,View your current leave balance and history
Performance Review,https://hr.company.com/performance,View Performance Review,Access your performance review and feedback
Benefits Enrollment,https://hr.company.com/benefits,Enroll in Benefits,Manage your health and insurance benefits
Training Portal,https://hr.company.com/training,Access Training,Browse and enroll in training courses
Employee Handbook,https://hr.company.com/handbook,View Handbook,Read company policies and procedures
Time Sheet,https://hr.company.com/timesheet,Submit Time Sheet,Log your working hours and submit timesheet
Onboarding Guide,https://hr.company.com/onboarding,View Onboarding,New employee onboarding resources
Career Development,https://hr.company.com/career,Explore Career Paths,Plan your career development
Work From Home Policy,https://hr.company.com/wfh-policy,Read WFH Policy,Remote work guidelines and policies
IT Support,https://hr.company.com/it-support,Get IT Support,Request technical support and assistance
Employee Assistance Program,https://hr.company.com/eap,Access EAP,Mental health and wellness resources
Diversity & Inclusion,https://hr.company.com/diversity,Learn About D&I,Diversity and inclusion initiatives
Company Events,https://hr.company.com/events,View Events,Upcoming company events and activities
Recognition Program,https://hr.company.com/recognition,Give Recognition,Recognize colleague achievements
Expense Reports,https://hr.company.com/expenses,Submit Expenses,Submit and track expense reports
Referral Program,https://hr.company.com/referrals,Refer a Friend,Employee referral program details
Retirement Planning,https://hr.company.com/retirement,Plan Retirement,401k and retirement planning resources
Health & Safety,https://hr.company.com/safety,View Safety Info,Workplace health and safety guidelines
